L 289.0000, 25.0000, -14.0000,  277.0000, 23.0000, -14.0000,  0, 0, 0
L 300.0000, 21.0000, -11.0000,  289.0000, 25.0000, -14.0000,  0, 0, 0
L 301.0000, 21.0000, -11.0000,  300.0000, 21.0000, -11.0000,  0, 0, 0
L 311.0000, 16.0000, -13.0000,  301.0000, 21.0000, -11.0000,  0, 0, 0
L 312.0000, 11.0000, -14.0000,  311.0000, 16.0000, -13.0000,  0, 0, 0
L 310.0000, 4.0000, -13.0000,  312.0000, 11.0000, -14.0000,  0, 0, 0
L 301.0000, 3.0000, -5.0000,  310.0000, 4.0000, -13.0000,  0, 0, 0
L 299.0000, 3.0000, -10.0000,  301.0000, 3.0000, -5.0000,  0, 0, 0
L 300.0000, -44.0000, -14.0000,  299.0000, 3.0000, -10.0000,  0, 0, 0
L 315.0000, -47.0000, -14.0000,  300.0000, -44.0000, -14.0000,  0, 0, 0
L 315.0000, -49.0000, -14.0000,  315.0000, -47.0000, -14.0000,  0, 0, 0
L 323.0000, -45.0000, -12.0000,  315.0000, -49.0000, -14.0000,  0, 0, 0
L 327.0000, -50.0000, -12.0000,  323.0000, -45.0000, -12.0000,  0, 0, 0
L 330.0000, -55.0000, -13.0000,  327.0000, -50.0000, -12.0000,  0, 0, 0
L 328.0000, -59.0000, -14.0000,  330.0000, -55.0000, -13.0000,  0, 0, 0
L 330.0000, -117.0000, -14.0000,  328.0000, -59.0000, -14.0000,  0, 0, 0
L 316.0000, -130.0000, -14.0000,  330.0000, -117.0000, -14.0000,  0, 0, 0
L 314.0000, -135.0000, -14.0000,  316.0000, -130.0000, -14.0000,  0, 0, 0
L 276.0000, -135.0000, -14.0000,  314.0000, -135.0000, -14.0000,  0, 0, 0
L 272.0000, -138.0000, -14.0000,  276.0000, -135.0000, -14.0000,  0, 0, 0
L 279.0000, -154.0000, -14.0000,  272.0000, -138.0000, -14.0000,  0, 0, 0
L 184.0000, -241.0000, -19.0000,  201.0000, -273.0000, -17.0000,  0, 0, 0
L 148.0000, -259.0000, -19.0000,  184.0000, -241.0000, -19.0000,  0, 0, 0
L 460.0000, -519.0000, -11.0000,  458.0000, -509.0000, -17.0000,  0, 0, 0
L 471.0000, -540.0000, -11.0000,  460.0000, -519.0000, -11.0000,  0, 0, 0
L 484.0000, -563.0000, -15.0000,  471.0000, -540.0000, -11.0000,  0, 0, 0
L 574.0000, -547.0000, -19.0000,  484.0000, -563.0000, -15.0000,  0, 0, 0
L 604.0000, -541.0000, -19.0000,  574.0000, -547.0000, -19.0000,  0, 0, 0
L 612.0000, -540.0000, -19.0000,  604.0000, -541.0000, -19.0000,  0, 0, 0
